0 0 0 00125d67 fffd3c3b
0 0 1 fff50520 00015a53
0 0 2 00035ae8 ffffaaaa
0 0 3 ffff96ba 00000843
0 0 4 0000030d ffffffd1
0 0 5 00000000 00000000
0 0 6 00000000 00000000
0 0 7 00000000 00000000
0 0 8 00000000 00000000
0 0 9 00000000 00000000
0 0 10 00000002 00000000
0 0 11 fffffc57 00000000
0 0 12 000080d1 00000000
0 0 13 fffbcdff ffffffff
0 0 14 000e1499 00000001
0 0 15 ffe7c5c3 00000002
0 1 0 fec112eb 00390729
0 1 1 0117a239 ffd6f285
0 1 2 ff49a21e 0015a6c0
0 1 3 0044b471 fff98b94
0 1 4 fff56f60 0000c281
0 1 5 00006ee2 fffffa3a
0 1 6 ffffff6b 00000005
0 1 7 00000000 00000000
0 1 8 00000000 00000000
0 1 9 000000b2 00000000
0 1 10 ffff78a3 ffffffff
0 1 11 000d192a fffffff5
0 1 12 ffa92434 ffffffc6
0 1 13 00ebfee2 000000a2
0 1 14 fe8c5455 fffffed4
0 1 15 01b4ab2c ffffffff
0 2 0 00ff8ffc ffc9fb44
0 2 1 fecd78de 00356771
0 2 2 017b9d85 ffca5bd5
0 2 3 fe796ed8 002bcaed
0 2 4 00e72f8d ffec1e15
0 2 5 ffd02f02 0002fb45
0 2 6 00020823 ffffeaea
0 2 7 fffffd45 0000000e
0 2 8 00000361 00000000
0 2 9 fffd76fa ffffffff
0 2 10 003c62f4 00000024
0 2 11 fed72946 ffffff07
0 2 12 01fffe82 00000208
0 2 13 fe0202f2 000000e0
0 2 14 01a76942 fffffeb6
0 2 15 fe94198c ffffffdf
0 3 0 ff9bd1d6 0018e862
0 3 1 006b1aa0 ffe9f572
0 3 2 ff7f484e 00159027
0 3 3 00cdf1f1 ffe48c6f
0 3 4 fe9ddd75 00244c88
0 3 5 01439090 ffe7eab8
0 3 6 ffad41fe 0004021f
0 3 7 0003367a ffffec6f
0 3 8 fffbe057 00000003
0 3 9 006b2e4e 00000025
0 3 10 fe5780eb 00000036
0 3 11 01d8b726 0000008b
0 3 12 fee719bc ffffff80
0 3 13 00b40b76 00000085
0 3 14 ff65e6da ffffffc0
0 3 15 0094956b ffffffe9
0 4 0 005d5f0c ffe4de05
0 4 1 ff9fd369 00173fae
0 4 2 0062f42c ffec727c
0 4 3 ff98d7e2 00104616
0 4 4 008406ea ffeff130
0 4 5 feecdd8c 00185a1f
0 4 6 0149fccd ffecf422
0 4 7 ffb11279 00022e72
0 4 8 006865a7 0000002b
0 4 9 fe424f1a fffffd9f
0 4 10 01787be7 000001a2
0 4 11 ff481bc5 ffffffab
0 4 12 0092da5a ffffffad
0 4 13 ff6f885b ffffffdd
