cycle,i_word
1,0
2,0.00390625
3,-0.00390625
4,7.99609
5,-8
6,0.03125
7,0.0273438
8,0.0351563
9,-0.03125
10,-0.0351563
11,-0.0273438
12,0.765625
13,0.910156
14,1.05469
15,1.19922
16,1.34375
17,0
18,0.00390625
19,-0.00390625
20,7.99609
21,-8
22,0.03125
23,0.0273438
24,0.0351563
25,-0.03125
26,-0.0351563
27,-0.0273438
28,3.07813
29,3.22266
30,3.36719
31,3.51172
32,3.65625
33,0
34,0.00390625
35,-0.00390625
36,7.99609
37,-8
38,0.03125
39,0.0273438
40,0.0351563
41,-0.03125
42,-0.0351563
43,-0.0273438
44,5.39063
45,5.53516
46,5.67969
47,5.82422
48,5.96875
49,0
50,0.00390625
51,-0.00390625
52,7.99609
53,-8
54,0.03125
55,0.0273438
56,0.0351563
57,-0.03125
58,-0.0351563
59,-0.0273438
60,7.70313
61,7.84766
62,7.99219
63,-7.86328
64,-7.71875
65,0
66,0.00390625
67,-0.00390625
68,7.99609
69,-8
70,0.03125
71,0.0273438
72,0.0351563
73,-0.03125
74,-0.0351563
75,-0.0273438
76,-5.98438
77,-5.83984
78,-5.69531
79,-5.55078
80,-5.40625
81,0
82,0.00390625
83,-0.00390625
84,7.99609
85,-8
86,0.03125
87,0.0273438
88,0.0351563
89,-0.03125
90,-0.0351563
91,-0.0273438
92,-3.67188
93,-3.52734
94,-3.38281
95,-3.23828
96,-3.09375
97,0
98,0.00390625
99,-0.00390625
100,7.99609
101,-8
102,0.03125
103,0.0273438
104,0.0351563
105,-0.03125
106,-0.0351563
107,-0.0273438
108,-1.35938
109,-1.21484
110,-1.07031
111,-0.925781
112,-0.78125
113,0
114,0.00390625
115,-0.00390625
116,7.99609
117,-8
118,0.03125
119,0.0273438
120,0.0351563
121,-0.03125
122,-0.0351563
123,-0.0273438
124,0.953125
125,1.09766
126,1.24219
127,1.38672
128,1.53125
129,0
130,0.00390625
131,-0.00390625
132,7.99609
133,-8
134,0.03125
135,0.0273438
136,0.0351563
137,-0.03125
138,-0.0351563
139,-0.0273438
140,3.26563
141,3.41016
142,3.55469
143,3.69922
144,3.84375
145,0
146,0.00390625
147,-0.00390625
148,7.99609
149,-8
150,0.03125
151,0.0273438
152,0.0351563
153,-0.03125
154,-0.0351563
155,-0.0273438
156,5.57813
157,5.72266
158,5.86719
159,6.01172
160,6.15625
161,0
162,0.00390625
163,-0.00390625
164,7.99609
165,-8
166,0.03125
167,0.0273438
168,0.0351563
169,-0.03125
170,-0.0351563
171,-0.0273438
172,7.89063
173,-7.96484
174,-7.82031
175,-7.67578
176,-7.53125
177,0
178,0.00390625
179,-0.00390625
180,7.99609
181,-8
182,0.03125
183,0.0273438
184,0.0351563
185,-0.03125
186,-0.0351563
187,-0.0273438
188,-5.79688
189,-5.65234
190,-5.50781
191,-5.36328
192,-5.21875
193,0
194,0.00390625
195,-0.00390625
196,7.99609
197,-8
198,0.03125
199,0.0273438
200,0.0351563
201,-0.03125
202,-0.0351563
203,-0.0273438
204,-3.48438
205,-3.33984
206,-3.19531
207,-3.05078
208,-2.90625
209,0
210,0.00390625
211,-0.00390625
212,7.99609
213,-8
214,0.03125
215,0.0273438
216,0.0351563
217,-0.03125
218,-0.0351563
219,-0.0273438
220,-1.17188
221,-1.02734
222,-0.882813
223,-0.738281
224,-0.59375
225,0
226,0.00390625
227,-0.00390625
228,7.99609
229,-8
230,0.03125
231,0.0273438
232,0.0351563
233,-0.03125
234,-0.0351563
235,-0.0273438
236,1.14063
237,1.28516
238,1.42969
239,1.57422
240,1.71875
241,0
242,0.00390625
243,-0.00390625
244,7.99609
245,-8
246,0.03125
247,0.0273438
248,0.0351563
249,-0.03125
250,-0.0351563
251,-0.0273438
252,3.45313
253,3.59766
254,3.74219
255,3.88672
256,4.03125
257,0
258,0.00390625
259,-0.00390625
260,7.99609
261,-8
262,0.03125
263,0.0273438
264,0.0351563
265,-0.03125
266,-0.0351563
267,-0.0273438
268,5.76563
269,5.91016
270,6.05469
271,6.19922
272,6.34375
273,0
274,0.00390625
275,-0.00390625
276,7.99609
277,-8
278,0.03125
279,0.0273438
280,0.0351563
281,-0.03125
282,-0.0351563
283,-0.0273438
284,-7.92188
285,-7.77734
286,-7.63281
287,-7.48828
288,-7.34375
289,0
290,0.00390625
291,-0.00390625
292,7.99609
293,-8
294,0.03125
295,0.0273438
296,0.0351563
297,-0.03125
298,-0.0351563
299,-0.0273438
300,-5.60938
301,-5.46484
302,-5.32031
303,-5.17578
304,-5.03125
305,0
306,0.00390625
307,-0.00390625
308,7.99609
309,-8
310,0.03125
311,0.0273438
312,0.0351563
313,-0.03125
314,-0.0351563
315,-0.0273438
316,-3.29688
317,-3.15234
318,-3.00781
319,-2.86328
320,-2.71875
321,0
322,0.00390625
323,-0.00390625
324,7.99609
325,-8
326,0.03125
327,0.0273438
328,0.0351563
329,-0.03125
330,-0.0351563
331,-0.0273438
332,-0.984375
333,-0.839844
334,-0.695313
335,-0.550781
336,-0.40625
337,0
338,0.00390625
339,-0.00390625
340,7.99609
341,-8
342,0.03125
343,0.0273438
344,0.0351563
345,-0.03125
346,-0.0351563
347,-0.0273438
348,1.32813
349,1.47266
350,1.61719
351,1.76172
352,1.90625
353,0
354,0.00390625
355,-0.00390625
356,7.99609
357,-8
358,0.03125
359,0.0273438
360,0.0351563
361,-0.03125
362,-0.0351563
363,-0.0273438
364,3.64063
365,3.78516
366,3.92969
367,4.07422
368,4.21875
369,0
370,0.00390625
371,-0.00390625
372,7.99609
373,-8
374,0.03125
375,0.0273438
376,0.0351563
377,-0.03125
378,-0.0351563
379,-0.0273438
380,5.95313
381,6.09766
382,6.24219
383,6.38672
384,6.53125
385,0
386,0.00390625
387,-0.00390625
388,7.99609
389,-8
390,0.03125
391,0.0273438
392,0.0351563
393,-0.03125
394,-0.0351563
395,-0.0273438
396,-7.73438
397,-7.58984
398,-7.44531
399,-7.30078
400,-7.15625
401,0
402,0.00390625
403,-0.00390625
404,7.99609
405,-8
406,0.03125
407,0.0273438
408,0.0351563
409,-0.03125
410,-0.0351563
411,-0.0273438
412,-5.42188
413,-5.27734
414,-5.13281
415,-4.98828
416,-4.84375
417,0
418,0.00390625
419,-0.00390625
420,7.99609
421,-8
422,0.03125
423,0.0273438
424,0.0351563
425,-0.03125
426,-0.0351563
427,-0.0273438
428,-3.10938
429,-2.96484
430,-2.82031
431,-2.67578
432,-2.53125
433,0
434,0.00390625
435,-0.00390625
436,7.99609
437,-8
438,0.03125
439,0.0273438
440,0.0351563
441,-0.03125
442,-0.0351563
443,-0.0273438
444,-0.796875
445,-0.652344
446,-0.507813
447,-0.363281
448,-0.21875
449,0
450,0.00390625
451,-0.00390625
452,7.99609
453,-8
454,0.03125
455,0.0273438
456,0.0351563
457,-0.03125
458,-0.0351563
459,-0.0273438
460,1.51563
461,1.66016
462,1.80469
463,1.94922
464,2.09375
465,0
466,0.00390625
467,-0.00390625
468,7.99609
469,-8
470,0.03125
471,0.0273438
472,0.0351563
473,-0.03125
474,-0.0351563
475,-0.0273438
476,3.82813
477,3.97266
478,4.11719
479,4.26172
480,4.40625
481,0
482,0.00390625
483,-0.00390625
484,7.99609
485,-8
486,0.03125
487,0.0273438
488,0.0351563
489,-0.03125
490,-0.0351563
491,-0.0273438
492,6.14063
493,6.28516
494,6.42969
495,6.57422
496,6.71875
497,0
498,0.00390625
499,-0.00390625
500,7.99609
501,-8
502,0.03125
503,0.0273438
504,0.0351563
505,-0.03125
506,-0.0351563
507,-0.0273438
508,-7.54688
509,-7.40234
510,-7.25781
511,-7.11328
512,-6.96875
513,0
514,0.00390625
515,-0.00390625
516,7.99609
517,-8
518,0.03125
519,0.0273438
520,0.0351563
521,-0.03125
522,-0.0351563
523,-0.0273438
524,-5.23438
525,-5.08984
526,-4.94531
527,-4.80078
528,-4.65625
529,0
530,0.00390625
531,-0.00390625
532,7.99609
533,-8
534,0.03125
535,0.0273438
