0 0 ffffffef ffffffe8
0 1 fffffffd fffffffc
0 2 00000006 00000003
0 3 00000003 00000003
0 4 fffffffe 00000000
0 5 00000000 00000000
0 6 00000000 00000000
0 7 00000000 00000000
0 8 00000000 00000000
0 9 00000000 00000000
0 10 00000002 00000000
0 11 fffffc54 00000000
0 12 000080d1 00000002
0 13 fffbce00 fffffff8
0 14 000e1492 00000003
0 15 ffe7c5c2 00000008
0 16 00183a54 0000000e
0 17 fff1eb69 00000005
0 18 000431fd fffffffd
0 19 ffff7f2e fffffffd
0 20 000003ad 00000000
0 21 00000000 00000000
0 22 00000000 00000000
0 23 00000000 00000000
0 24 00000000 00000000
0 25 00000000 00000000
0 26 00000000 00000000
0 27 00000003 00000000
0 28 00000000 fffffffd
0 29 00000000 00000009
0 30 00000008 fffffffd
0 31 00000000 fffffff8
1 0 ffffff97 00000283
1 1 00000294 000000f5
1 2 ffffff91 ffffffdf
1 3 ffffffd5 ffffffa0
1 4 00000008 ffffffed
1 5 00000002 ffffffff
1 6 fffffffd 00000000
1 7 00000000 00000000
1 8 00000000 00000000
1 9 000000b2 00000003
1 10 ffff78a3 00000004
1 11 000d1925 fffffffa
1 12 ffa923f2 00000030
1 13 00ebff33 0000017e
1 14 fe8c54d7 ffffff0d
1 15 01b4a909 fffffecd
1 16 fe4b55a6 fffffdd8
1 17 0173a9c0 fffffefe
1 18 ff1401c0 ffffff66
1 19 0056dc4a 0000008a
1 20 fff2e6de 00000006
1 21 0000875b 00000000
1 22 ffffff50 00000000
1 23 00000000 00000000
1 24 00000000 00000000
1 25 00000000 fffffffd
1 26 00000000 fffffffa
1 27 00000006 fffffffa
1 28 00000048 ffffff78
1 29 ffffff81 fffffef6
1 30 ffffff51 ffffffcb
1 31 00000302 00000126
2 0 000001bf ffffffd0
2 1 fffffe6a fffffd2a
2 2 fffffe90 000000f0
2 3 00000040 fffffffa
2 4 ffffffb0 00000063
2 5 ffffffd1 ffffffaa
2 6 ffffffff 00000005
2 7 fffffffd fffffffe
2 8 0000035f fffffffe
2 9 fffd76fd fffffffa
2 10 003c6333 00000024
2 11 fed729e5 00000059
2 12 01fffeff 0000018d
2 13 fe0202c1 000000e5
2 14 01a76a3c fffffe40
2 15 fe941a3b 000001cf
2 16 016be420 ffffffbe
2 17 fe58957d 0000021b
2 18 01fdfe58 fffffde6
2 19 fe0000d8 000000e0
2 20 0128d646 000000e7
2 21 ffc39d05 00000013
2 22 00028903 fffffffd
2 23 fffffca2 00000003
2 24 00000003 00000003
2 25 fffffffd 00000006
